enterprise_id,date,amount,platform,total_funding_amount
8641573576036899873,2022-03-19,750.0,facebook,30000.0
2171776145388804735,2022-03-19,750.0,facebook,30000.0
2749801908589504162,2022-03-19,706.01,microsoft,55000.0
4506139269766549584,2022-03-19,500.0,google,30000.0
2749801908589504162,2022-03-19,362.37,facebook,55000.0
5196726616391465149,2022-03-19,500.0,google,20000.0
4967883010146339226,2021-07-22,750.0,facebook,20000.0
4202267719396131946,2022-03-19,500.0,google,20000.0
1271273381396162082,2022-03-19,500.0,google,20000.0
7186097197009479310,2022-03-19,750.0,facebook,80000.0
2843391753880764310,2022-03-19,750.0,facebook,50000.0
7541178542874469297,2021-07-22,750.0,facebook,20000.0
1962992605310743559,2021-07-22,67.83,facebook,10000.0
2843391753880764310,2022-03-20,750.0,facebook,50000.0
7186097197009479310,2022-03-20,750.0,facebook,80000.0
6071132215378341664,2022-03-20,63.93,other,150000.0
3516240567180555644,2021-07-25,500.0,google,15000.0
1271273381396162082,2022-03-20,1049.93,pinterest,20000.0
7186097197009479310,2022-03-21,750.0,facebook,80000.0
3516240567180555644,2022-03-21,146.95,google,15000.0
4202267719396131946,2022-03-21,500.0,google,20000.0
1271273381396162082,2022-03-21,500.0,google,20000.0
7186097197009479310,2022-03-21,655.02,facebook,80000.0
2843391753880764310,2022-03-21,750.0,facebook,50000.0
4506139269766549584,2022-03-21,500.0,google,30000.0
8540365508954448545,2021-08-02,47778.33,facebook,1000000.0
6744434961582703331,2021-07-29,750.0,facebook,30000.0
1962992605310743559,2021-07-28,500.0,google,10000.0
1192305115806033379,2022-03-21,9542.69,stock,50000.0
3516240567180555644,2021-08-01,570.08,facebook,15000.0
8641573576036899873,2022-03-22,750.0,facebook,30000.0
4506139269766549584,2022-03-22,500.0,google,30000.0
8463115330227428433,2022-03-22,3432.26,google,15000.0
5434424518289236766,2022-03-22,500.0,google,30000.0
4202267719396131946,2022-03-22,433.0,facebook,20000.0
7186097197009479310,2022-03-22,750.0,facebook,80000.0
3012411838694922459,2022-03-22,500.0,google,50000.0
2843391753880764310,2022-03-22,750.0,facebook,50000.0
7186097197009479310,2022-03-22,1000.0,google,80000.0
6568336535986948824,2022-03-25,60000.0,stock,95000.0
4506139269766549584,2022-03-23,10.0,other,30000.0
2843391753880764310,2022-03-23,500.0,google,50000.0
7186097197009479310,2022-03-23,750.0,facebook,80000.0
2843391753880764310,2022-03-23,750.0,facebook,50000.0
2393859298115499884,2022-03-23,750.0,facebook,15000.0
4506139269766549584,2022-03-23,-10.0,other,30000.0
7541178542874469297,2021-08-14,441.93,facebook,20000.0
3406105452758170778,2021-08-14,500.0,google,35000.0
4967883010146339226,2021-08-14,750.0,facebook,20000.0
6744434961582703331,2021-08-14,403.83,facebook,30000.0
9148671555452718366,2022-03-24,269.96,pinterest,32000.0
7061757587058313983,2022-03-24,2.0,facebook,115000.0
7061757587058313983,2022-03-24,12.0,facebook,115000.0
7186097197009479310,2022-03-24,750.0,facebook,80000.0
9148671555452718366,2022-03-24,428.91,pinterest,32000.0
4202267719396131946,2022-03-24,500.0,google,20000.0
7061757587058313983,2022-03-24,9.0,facebook,115000.0
7028414130517003693,2022-03-24,750.0,facebook,25000.0
7061757587058313983,2022-03-24,6.0,facebook,115000.0
9148671555452718366,2022-03-24,320.18,facebook,32000.0
2843391753880764310,2022-03-24,750.0,facebook,50000.0
3012411838694922459,2022-03-24,500.0,google,50000.0
3012411838694922459,2022-03-24,462.68,microsoft,50000.0
7061757587058313983,2022-03-24,1.5,facebook,115000.0
7061757587058313983,2022-03-24,4.0,facebook,115000.0
2171776145388804735,2021-08-20,150.0,facebook,30000.0
6744434961582703331,2021-08-20,750.0,facebook,30000.0
2843391753880764310,2022-03-25,750.0,facebook,50000.0
4506139269766549584,2022-03-25,10.0,other,30000.0
4506139269766549584,2022-03-25,3.0,other,30000.0
4506139269766549584,2022-03-25,3.0,other,30000.0
7061757587058313983,2022-03-25,20.0,facebook,115000.0
1271273381396162082,2022-03-25,750.0,facebook,20000.0
1271273381396162082,2022-03-25,500.0,google,20000.0
4506139269766549584,2022-03-25,10.0,other,30000.0
4506139269766549584,2022-03-25,10.0,other,30000.0
4506139269766549584,2022-03-25,3.0,other,30000.0
7186097197009479310,2022-03-25,750.0,facebook,80000.0
7186097197009479310,2022-03-25,750.0,facebook,80000.0
8641573576036899873,2022-03-25,750.0,facebook,30000.0
4506139269766549584,2022-03-25,500.0,google,30000.0
4506139269766549584,2022-03-26,20.0,other,30000.0
9148671555452718366,2022-03-26,99.95,pinterest,32000.0
4202267719396131946,2022-03-26,54.54,other,20000.0
4506139269766549584,2022-03-26,20.0,other,30000.0
7061757587058313983,2022-03-26,30.0,facebook,115000.0
5589751414421954116,2022-03-26,500.0,google,100000.0
1271273381396162082,2022-03-26,959.9,pinterest,20000.0
2393859298115499884,2022-03-26,89.85,facebook,15000.0
4506139269766549584,2022-03-26,20.0,other,30000.0
2843391753880764310,2022-03-26,750.0,facebook,50000.0
2393859298115499884,2022-03-26,500.0,google,15000.0
6071132215378341664,2022-03-26,59.27,other,150000.0
3012411838694922459,2022-03-26,500.0,google,50000.0
7061757587058313983,2022-03-26,1381.24,google,115000.0
7186097197009479310,2022-03-26,750.0,facebook,80000.0
2749801908589504162,2022-02-19,546.55,facebook,55000.0
2843391753880764310,2022-02-19,750.0,facebook,50000.0
2749801908589504162,2022-02-19,893.45,microsoft,55000.0
1962992605310743559,2021-09-01,500.0,google,10000.0
